,,,,,,,,,,,,,,,,,,,,,Offense Four Factors,,,,,Defense Four Factors,,,,,,,
Rk,Year,Team,Playoffs,Championship,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,1997,Chicago Bulls,Yes,Yes,30.7,69,13,68,14,10.8,-0.11,10.7,114.4,102.4,12,90,0.267,0.203,0.547,,0.511,12.5,35.9,0.199,,0.471,14.8,69.3,0.196,,United Center,"978,457","23,865"
2,1997,Utah Jazz,Yes,No,29.6,64,18,64,18,8.79,-0.82,7.97,113.6,104,9.6,90,0.389,0.145,0.581,,0.53,14.7,29.7,0.299,,0.48,15.5,71.6,0.29,,Delta Center,"811,439","19,791"
3,1997,Seattle SuperSonics,Yes,No,30,57,25,62,20,7.68,-0.77,6.91,111.2,102.7,8.5,90.3,0.358,0.247,0.557,,0.51,14.2,30.9,0.269,,0.49,17.7,69.1,0.242,,KeyArena at Seattle Center,"699,952","17,072"
4,1997,Atlanta Hawks,Yes,No,28.8,56,26,57,25,5.44,0.08,5.52,108.5,102.3,6.2,86.8,0.31,0.291,0.542,,0.498,14.6,31.5,0.236,,0.472,15,69.2,0.191,,Omni Coliseum,"549,414","14,288"
5,1997,Miami Heat,Yes,No,27.2,61,21,57,25,5.49,0.07,5.56,106.8,100.6,6.2,88.2,0.324,0.299,0.546,,0.507,15.5,29.2,0.233,,0.465,15.6,70.6,0.248,,Miami Arena,"615,160","15,004"
6,1997,Detroit Pistons,Yes,No,28.2,54,28,57,25,5.24,0.2,5.45,110.6,104.4,6.2,84.5,0.327,0.246,0.554,,0.512,13,27.5,0.244,,0.487,14.6,70.4,0.197,,The Palace of Auburn Hills,"784,234","20,014"
7,1997,Houston Rockets,Yes,No,30.8,57,25,54,28,4.48,-0.62,3.85,108.8,104,4.8,91.6,0.307,0.284,0.56,,0.52,15.6,28.4,0.232,,0.481,13.3,71.4,0.19,,The Summit,"667,685","16,285"
8,1997,Los Angeles Lakers,Yes,No,26.5,56,26,53,29,4.27,-0.61,3.66,108.3,103.7,4.6,91.1,0.351,0.226,0.535,,0.496,13.7,31.6,0.243,,0.478,15.1,68.5,0.231,,Great Western Forum,"697,159","17,004"
9,1997,Portland Trail Blazers,Yes,No,26.4,49,33,53,29,4.17,-0.61,3.56,107.9,103.3,4.6,90.9,0.35,0.217,0.544,,0.503,15.4,32.5,0.249,,0.471,14.3,72.4,0.268,,Rose Garden Arena,"852,798","20,800"
10,1997,New York Knicks,Yes,No,29.7,57,25,50,32,3.12,0.18,3.31,104.4,101,3.4,90.5,0.34,0.208,0.546,,0.501,17,30.5,0.255,,0.463,15.4,73.4,0.279,,Madison Square Garden (IV),"790,520","19,763"
11,1997,Cleveland Cavaliers,No,No,26.7,42,40,47,35,1.84,0.47,2.32,104.6,102.4,2.2,82.9,0.297,0.215,0.531,,0.493,15,29.4,0.215,,0.482,16.8,71.9,0.281,,Gund Arena,"692,684","16,895"
12,1997,Charlotte Hornets,Yes,No,29.1,54,28,46,36,1.87,0.26,2.13,110.9,108.9,2,88.6,0.313,0.218,0.562,,0.518,14.3,28.7,0.243,,0.496,13.3,68.1,0.204,,Charlotte Coliseum,"985,722","24,042"
13,1997,Washington Bullets,Yes,No,25.9,44,38,46,36,1.62,0.15,1.77,106.6,104.9,1.7,92.4,0.296,0.15,0.54,,0.505,14.6,30.2,0.21,,0.491,15.3,70.3,0.226,,US Airways Arena,"700,646","17,681"
14,1997,Indiana Pacers,No,No,27.9,39,43,44,38,0.98,0.52,1.49,105.8,104.7,1.1,89,0.374,0.181,0.537,,0.49,15.5,31.3,0.27,,0.48,15,70.4,0.258,,Market Square Arena,"636,735","15,530"
15,1997,Phoenix Suns,Yes,No,28.5,40,42,43,39,0.66,-0.45,0.21,109.3,108.6,0.7,93.2,0.317,0.213,0.552,,0.508,13.4,27.1,0.241,,0.507,14.4,69.4,0.215,,America West Arena,"779,940","19,023"
16,1997,Orlando Magic,Yes,No,29.4,45,37,40,42,-0.35,0.28,-0.07,105.6,106,-0.4,88.3,0.304,0.256,0.524,,0.481,14.5,30.9,0.227,,0.495,15.3,67.3,0.211,,Orlando Arena,"711,311","17,199"
17,1997,Minnesota Timberwolves,Yes,No,26.3,40,42,37,45,-1.48,-0.35,-1.82,105.5,107.1,-1.6,90.7,0.339,0.17,0.533,,0.485,14.4,28.8,0.254,,0.486,14.6,68.3,0.252,,Target Center,"697,727","17,018"
18,1997,Milwaukee Bucks,No,No,27.3,33,49,35,47,-1.89,0.51,-1.38,106.2,108.3,-2.1,89.5,0.334,0.146,0.541,,0.496,15.1,29.7,0.248,,0.501,14.1,69.9,0.253,,Bradley Center,"634,999","15,514"
19,1997,Los Angeles Clippers,Yes,No,25.5,36,46,34,48,-2.35,-0.31,-2.66,105.1,107.6,-2.5,91.3,0.31,0.2,0.524,,0.482,14.7,30.8,0.227,,0.499,15.5,68.1,0.269,,Los Angeles Memorial Sports Arena,"232,895","8,836"
20,1997,Toronto Raptors,No,No,25.1,30,52,32,50,-3.12,0.57,-2.56,104.6,108,-3.4,90.6,0.303,0.245,0.521,,0.481,15.2,32.5,0.218,,0.504,15.3,68.6,0.258,,SkyDome,"744,550","18,551"
21,1997,Sacramento Kings,No,No,27.4,34,48,31,51,-3.38,-0.26,-3.64,105,108.7,-3.7,91,0.313,0.16,0.526,,0.485,15,32,0.226,,0.495,14.3,68.5,0.264,,ARCO Arena (II),"709,993","17,317"
22,1997,New Jersey Nets,No,No,26.8,26,56,28,54,-4.56,0.67,-3.89,104.7,109.7,-5,92.4,0.286,0.193,0.499,,0.456,13.9,36.4,0.212,,0.503,14.1,69,0.244,,Continental Airlines Arena,"670,628","15,800"
23,1997,Golden State Warriors,No,No,26.7,30,52,28,54,-4.71,-0.2,-4.9,107.2,112.2,-5,91.9,0.332,0.208,0.543,,0.493,15.8,32.3,0.258,,0.518,14.4,67.5,0.234,,San Jose Arena,"621,844","15,167"
24,1997,Denver Nuggets,No,No,28.6,21,61,24,58,-6.28,-0.12,-6.4,104.5,111.2,-6.7,92.4,0.298,0.256,0.53,,0.486,15.2,28.8,0.227,,0.501,11.8,69.3,0.206,,McNichols Sports Arena,"340,486","11,254"
25,1997,Philadelphia 76ers,No,No,25.5,22,60,24,58,-6.54,0.65,-5.89,104.6,111.4,-6.8,95.3,0.358,0.198,0.518,,0.47,15.3,34.1,0.259,,0.51,13.8,66.5,0.222,,CoreStates Center,"610,974","15,280"
26,1997,Dallas Mavericks,No,No,27.1,24,58,23,59,-6.35,-0.12,-6.47,101.1,108.2,-7.1,89,0.297,0.204,0.509,,0.469,15.4,30,0.213,,0.5,14.9,67.3,0.229,,Reunion Arena,"619,178","15,102"
27,1997,Boston Celtics,No,No,26.1,15,67,22,60,-7.33,0.71,-6.62,103.9,111.4,-7.5,95.8,0.316,0.191,0.52,,0.474,14.5,29.4,0.237,,0.539,15.8,68.5,0.243,,FleetCenter,"664,022","16,196"
28,1997,San Antonio Spurs,No,No,29.9,20,62,19,63,-7.88,-0.05,-7.93,103.3,112.3,-9,87.3,0.302,0.185,0.512,,0.472,14.7,32.4,0.217,,0.514,14,67,0.236,,Alamodome,"706,641","17,235"
29,1997,Vancouver Grizzlies,No,No,25,14,68,15,67,-10.23,0.06,-10.17,100.3,111.8,-11.5,88.4,0.269,0.197,0.507,,0.471,15.3,29.7,0.191,,0.51,14.4,64.1,0.224,,General Motors Place,"683,442","16,571"
,1997,League Average,,,27.6,,,41,41,0,0,0,106.7,106.7,,90.1,0.32,0.212,0.536,,0.493,14.8,30.8,0.236,,0.493,14.8,69.2,0.236,,,"685,905","17,073"